folder,documents,datasets,zim,other,total
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W109_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W110_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W111_00_DEM,0,1,0,0,1
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W112_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W113_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W114_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W115_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W116_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W176_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W081_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W082_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W083_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W090_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W096_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W097_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W098_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W099_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W100_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W101_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W102_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W103_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W104_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W105_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W106_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W107_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W108_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W109_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W110_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W111_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W112_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W113_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W114_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W115_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W116_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W119_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W178_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N28_00_W179_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W081_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W082_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W083_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W084_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W085_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W086_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W089_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W090_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W091_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W092_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W093_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W094_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W095_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W096_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W097_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W098_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W099_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W100_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W101_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W102_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W103_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W104_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W105_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W106_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W107_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W108_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W109_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W110_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W111_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W112_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W113_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W114_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W115_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W116_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N29_00_W119_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N30_00_W082_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N30_00_W083_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N30_00_W084_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N30_00_W085_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N30_00_W086_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N30_00_W087_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N30_00_W088_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N30_00_W089_00_DEM,1,11,0,3,15
